FACTID|PMID
WOS:A1976CM20900044|MEDLINE:1000214
WOS:A1976CM20900057|MEDLINE:1000218
WOS:A1976CM20900059|MEDLINE:1000221
WOS:A1976CM78400005|MEDLINE:1000227
WOS:A1976CM78400007|MEDLINE:1000229
WOS:A1978FJ59600002|MEDLINE:100023
WOS:A1976CM78400008|MEDLINE:1000230
WOS:A1976CM78400011|MEDLINE:1000232
WOS:A1976CM78400013|MEDLINE:1000234
WOS:A1976CM78400016|MEDLINE:1000236
WOS:A1976CM78400019|MEDLINE:1000238
WOS:A1976CM78400023|MEDLINE:1000241
WOS:A1976CM78400028|MEDLINE:1000243
WOS:A1976CM78400034|MEDLINE:1000245
WOS:A1976CM78400040|MEDLINE:1000247
WOS:A1976CM78400045|MEDLINE:1000250
WOS:A1976CM78400054|MEDLINE:1000254
WOS:A1976CP30900005|MEDLINE:1000258
WOS:A1976CP30900011|MEDLINE:1000261
WOS:A1976CP30900015|MEDLINE:1000263
WOS:A1976CP30900017|MEDLINE:1000265
WOS:A1976CP30900023|MEDLINE:1000269
WOS:A1978FL37500018|MEDLINE:100027
WOS:A1976CP30900026|MEDLINE:1000270
WOS:A1976CP30900038|MEDLINE:1000274
WOS:A1976CP30900040|MEDLINE:1000276
WOS:A1976CP30900043|MEDLINE:1000278
WOS:A1976CP66800003|MEDLINE:1000281
WOS:A1976CP66800006|MEDLINE:1000283
WOS:A1976CP66800008|MEDLINE:1000285
WOS:A1976CP66800010|MEDLINE:1000287
WOS:A1976CS46400003|MEDLINE:1000289
WOS:A1976CS46400005|MEDLINE:1000290
WOS:A1976CS46400008|MEDLINE:1000292
WOS:A1976CS46400010|MEDLINE:1000294
WOS:A1976CS46400013|MEDLINE:1000296
WOS:A1976CS46400015|MEDLINE:1000298
WOS:A1976CG36600008|MEDLINE:10003
WOS:A1978FR76800005|MEDLINE:100030
WOS:A1976CS46400018|MEDLINE:1000300
WOS:A1976CS46400020|MEDLINE:1000302
WOS:A1978FR76800013|MEDLINE:100032
WOS:A1976CM16400002|MEDLINE:1000324
WOS:A1976CM16400004|MEDLINE:1000326
WOS:A1976CM16400007|MEDLINE:1000328
WOS:A1976CK88900008|MEDLINE:1000331
WOS:A1976CN88400001|MEDLINE:1000333
WOS:A1976CN88400006|MEDLINE:1000335
WOS:A1976CN88400008|MEDLINE:1000337
WOS:A1976CN88400010|MEDLINE:1000339
WOS:A1978FC01700004|MEDLINE:100034
WOS:A1976CN16800006|MEDLINE:1000342
WOS:A1976CN16800009|MEDLINE:1000344
WOS:A1976CQ35400001|MEDLINE:1000348
WOS:A1976CQ35400006|MEDLINE:1000351
WOS:A1976CQ35400008|MEDLINE:1000353
WOS:A1976CQ35400010|MEDLINE:1000355
WOS:A1976CM85100013|MEDLINE:1000357
WOS:A1976CM85100015|MEDLINE:1000359
WOS:A1978FC85600010|MEDLINE:100036
WOS:A1976CM85100001|MEDLINE:1000360
WOS:A1976CM85100009|MEDLINE:1000362
WOS:A1976CM85100012|MEDLINE:1000364
WOS:A1976CP16300010|MEDLINE:1000366
WOS:A1976CP16300019|MEDLINE:1000368
WOS:A1976BD36100019|MEDLINE:1000371
WOS:A1976BD36100005|MEDLINE:1000373
WOS:A1976BD36100007|MEDLINE:1000375
WOS:A1976BD36100009|MEDLINE:1000377
WOS:A1976BD36100011|MEDLINE:1000379
WOS:A1976BD36100013|MEDLINE:1000380
WOS:A1976BD36100003|MEDLINE:1000382
WOS:A1976BM69600003|MEDLINE:1000384
WOS:A1976BM69600008|MEDLINE:1000386
WOS:A1976BM69600014|MEDLINE:1000388
WOS:A1976BZ89000007|MEDLINE:1000391
WOS:A1976BZ89000014|MEDLINE:1000393
WOS:A1976BZ89000016|MEDLINE:1000395
WOS:A1976CJ64300002|MEDLINE:1000397
WOS:A1976CJ64300004|MEDLINE:1000399
WOS:A1976CJ64300012|MEDLINE:1000401
WOS:A1976CJ64300015|MEDLINE:1000403
WOS:A1976CK26200002|MEDLINE:1000405
WOS:A1976CK26200005|MEDLINE:1000407
WOS:A1976CR83800006|MEDLINE:1000427
WOS:A1976CR83800018|MEDLINE:1000429
WOS:A1978FM13700001|MEDLINE:100043
WOS:A1976CN28600001|MEDLINE:1000430
WOS:A1976CN28600003|MEDLINE:1000432
WOS:A1976CN28600006|MEDLINE:1000434
WOS:A1976CN28600008|MEDLINE:1000436
WOS:A1976CN28600010|MEDLINE:1000438
WOS:A1976CN28600016|MEDLINE:1000441
WOS:A1976CN28600018|MEDLINE:1000443
WOS:A1976CN28600020|MEDLINE:1000445
WOS:A1976CN28600023|MEDLINE:1000447
WOS:A1976CP88500003|MEDLINE:1000449
WOS:A1978FG94200005|MEDLINE:100045
WOS:A1976CP88500004|MEDLINE:1000450
